region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3118 Indre Østfold,2 Kvinner,F55-59 55-59 år,2025,Personer,1746
3118 Indre Østfold,2 Kvinner,F60-64 60-64 år,2025,Personer,1429
3118 Indre Østfold,2 Kvinner,F65-69 65-69 år,2025,Personer,1376
3118 Indre Østfold,2 Kvinner,F70-74 70-74 år,2025,Personer,1232
3118 Indre Østfold,2 Kvinner,F75-79 75-79 år,2025,Personer,1124
3118 Indre Østfold,2 Kvinner,F80-84 80-84 år,2025,Personer,752
3118 Indre Østfold,2 Kvinner,F85-89 85-89 år,2025,Personer,358
3118 Indre Østfold,2 Kvinner,F90-94 90-94 år,2025,Personer,191
3118 Indre Østfold,2 Kvinner,F95-99 95-99 år,2025,Personer,64
3118 Indre Østfold,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,5
3118 Indre Østfold,1 Menn,F00-04 0-4 år,2025,Personer,1128
3118 Indre Østfold,1 Menn,F05-09 5-9 år,2025,Personer,1305
3118 Indre Østfold,1 Menn,F10-14 10-14 år,2025,Personer,1458
3118 Indre Østfold,1 Menn,F15-19 15-19 år,2025,Personer,1494
3118 Indre Østfold,1 Menn,F20-24 20-24 år,2025,Personer,1328
3118 Indre Østfold,1 Menn,F25-29 25-29 år,2025,Personer,1420
3118 Indre Østfold,1 Menn,F30-34 30-34 år,2025,Personer,1504
3118 Indre Østfold,1 Menn,F35-39 35-39 år,2025,Personer,1638
3118 Indre Østfold,1 Menn,F40-44 40-44 år,2025,Personer,1569
3118 Indre Østfold,1 Menn,F45-49 45-49 år,2025,Personer,1613
3118 Indre Østfold,1 Menn,F50-54 50-54 år,2025,Personer,1823
3118 Indre Østfold,1 Menn,F55-59 55-59 år,2025,Personer,1782
